Date,Open,High,Low,Close,Volume
2013-10-18,349.9998,364.4998,349.9998,361.8498,1465507
2013-10-17,342.9996,352.2498,341.9998,347.4498,2413946
2013-10-15,345.6996,345.6996,333.9996,342.6498,3405747
2013-10-14,337.9998,345.1998,336.4998,342.0498,1809422
2013-10-11,343.9998,345.4998,335.7498,339.0498,320706
2013-10-10,341.9998,345.8998,339.9996,343.4496,198756
2013-10-09,341.9998,347.4498,339.2998,340.3498,521203
2013-10-08,353.0496,356.5998,340.2996,341.8998,493500
2013-10-07,341.5498,354.6996,336.2998,352.1998,1038163
2013-10-04,335.6998,350.7996,333.7998,341.5498,1898066
2013-10-03,326.9998,336.8496,324.4498,333.5998,1700138
2013-10-01,330.6996,330.6996,320.2498,326.3998,760189
2013-09-30,329.9998,336.8998,327.1998,330.1998,1338895
2013-09-27,314.7996,339.7998,314.7996,328.5498,3824542
2013-09-26,306.9996,313.6498,304.2996,309.7498,1639436
2013-09-25,310.5498,310.6998,297.2496,305.0998,1293001
2013-09-24,321.9996,322.7496,313.2498,315.8496,392424
2013-09-23,333.9996,340.0498,320.5998,323.2998,538063
2013-09-20,334.9998,344.7996,322.0498,334.0498,2028110
2013-09-19,320.9998,342.0996,317.9998,335.1498,1528783
2013-09-18,314.9998,318.9996,313.6998,315.6498,521383
2013-09-17,319.6998,321.4498,312.1498,314.3496,573679
2013-09-16,310.1496,321.9996,306.0498,316.9998,1034191
2013-09-13,302.9998,306.9996,295.9998,305.1996,419016
2013-09-12,309.9996,316.3498,302.0998,303.5496,582883
2013-09-11,299.5998,314.1498,297.1498,311.7996,1035397
2013-09-10,303.9996,303.9996,294.6996,298.1998,760201
2013-09-06,282.9996,303.0498,275.7498,299.6998,2031782
2013-09-05,273.3996,289.8996,273.3996,287.5998,936193
2013-09-04,264.9996,273.4998,264.6996,270.9996,743647
2013-09-03,278.9998,279.7998,261.5998,267.0498,1207267
2013-09-02,277.9998,279.9996,271.2498,277.3498,953791
2013-08-30,273.9996,275.5498,264.0498,271.8996,878329
2013-08-29,274.9998,276.9996,265.4496,270.0498,2244224
2013-08-28,282.4998,282.4998,256.6998,268.8498,3969916
2013-08-27,303.0498,303.9996,288.4998,290.1498,861853
2013-08-26,300.6996,312.0996,297.9996,305.0998,653197
2013-08-23,297.8998,303.4998,292.2996,300.6996,901819
2013-08-22,281.9998,299.0998,280.2996,295.9498,759361
2013-08-21,300.9996,303.6996,280.0498,284.1498,767785
2013-08-20,284.9998,301.4998,280.9998,298.3498,568357
2013-08-19,286.9998,293.9998,276.8496,287.9998,641287
2013-08-16,303.8998,303.8998,288.3498,290.7498,656113
2013-08-14,293.9998,305.1996,290.0496,303.9498,1380535
2013-08-13,282.9996,288.3498,276.4998,285.9498,827761
2013-08-12,277.9998,285.4998,272.5998,283.8996,547297
2013-08-08,276.9996,282.9498,266.5498,276.2496,632857
2013-08-07,264.8998,279.3498,260.2998,274.6998,1460887
